,pathway,source
156,R-HSA-2894862,ENSG00000138613
157,R-HSA-2979096,ENSG00000138613
158,R-HSA-3928665,ENSG00000138613
159,R-HSA-9013700,ENSG00000138613
160,R-HSA-9017802,ENSG00000138613
161,R-HSA-977225,ENSG00000138613
162,R-HSA-8856825,ENSG00000138760
163,R-HSA-425561,ENSG00000140090
164,R-HSA-5619055,ENSG00000140090
165,R-HSA-191859,ENSG00000142252
166,R-HSA-9754678,ENSG00000142252
167,R-HSA-2730905,ENSG00000149534
168,R-HSA-2871796,ENSG00000149534
169,R-HSA-2871809,ENSG00000149534
170,R-HSA-2871837,ENSG00000149534
171,R-HSA-8873719,ENSG00000152932
172,R-HSA-2022377,ENSG00000159640
173,R-HSA-5223345,ENSG00000160862
174,R-HSA-1660499,ENSG00000168918
175,R-HSA-1855204,ENSG00000168918
176,R-HSA-202424,ENSG00000168918
177,R-HSA-210990,ENSG00000168918
178,R-HSA-912526,ENSG00000168918
179,R-HSA-1296041,ENSG00000172354
180,R-HSA-163359,ENSG00000172354
181,R-HSA-202040,ENSG00000172354
182,R-HSA-381676,ENSG00000172354
183,R-HSA-392170,ENSG00000172354
184,R-HSA-392451,ENSG00000172354
185,R-HSA-392851,ENSG00000172354
186,R-HSA-400042,ENSG00000172354
187,R-HSA-4086398,ENSG00000172354
188,R-HSA-416476,ENSG00000172354
189,R-HSA-416482,ENSG00000172354
190,R-HSA-418217,ENSG00000172354
191,R-HSA-418592,ENSG00000172354
192,R-HSA-418597,ENSG00000172354
193,R-HSA-420092,ENSG00000172354
194,R-HSA-428930,ENSG00000172354
195,R-HSA-432040,ENSG00000172354
196,R-HSA-456926,ENSG00000172354
197,R-HSA-500657,ENSG00000172354
198,R-HSA-6814122,ENSG00000172354
199,R-HSA-8964315,ENSG00000172354
200,R-HSA-8964616,ENSG00000172354
201,R-HSA-9009391,ENSG00000172354
202,R-HSA-9634597,ENSG00000172354
203,R-HSA-9660821,ENSG00000172354
204,R-HSA-997272,ENSG00000172354
205,R-HSA-877300,ENSG00000179344
206,R-HSA-6798695,ENSG00000180448
207,R-HSA-8980692,ENSG00000180448
208,R-HSA-9013148,ENSG00000180448
209,R-HSA-9013149,ENSG00000180448
210,R-HSA-166208,ENSG00000188186
211,R-HSA-380972,ENSG00000188186
212,R-HSA-5628897,ENSG00000188186
213,R-HSA-8943724,ENSG00000188186
214,R-HSA-9639288,ENSG00000188186
215,R-HSA-432722,ENSG00000189114
216,R-HSA-202424,ENSG00000196126
217,R-HSA-202427,ENSG00000196126
218,R-HSA-202430,ENSG00000196126
219,R-HSA-202433,ENSG00000196126
220,R-HSA-2132295,ENSG00000196126
221,R-HSA-389948,ENSG00000196126
222,R-HSA-877300,ENSG00000196126
223,R-HSA-202424,ENSG00000196735
224,R-HSA-202427,ENSG00000196735
225,R-HSA-202430,ENSG00000196735
226,R-HSA-202433,ENSG00000196735
227,R-HSA-2132295,ENSG00000196735
228,R-HSA-389948,ENSG00000196735
229,R-HSA-877300,ENSG00000196735
230,R-HSA-166016,ENSG00000197959
231,R-HSA-177504,ENSG00000197959
